date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:49	21470/21470	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:42:26%20GMT	https://codingwithprajwal.com/frontend/img/core-img/play-store.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/core-img/play-store.png	(from https://codingwithprajwal.com/)
14:49:49	38706/38706	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:42:32%20GMT	https://codingwithprajwal.com/frontend/img/core-img/app-store.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/core-img/app-store.png	(from https://codingwithprajwal.com/)
14:49:49	7013/7013	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:42:54%20GMT	https://codingwithprajwal.com/frontend/img/payment-method/paypal.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/payment-method/paypal.png	(from https://codingwithprajwal.com/)
14:49:49	9984/9984	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:43:00%20GMT	https://codingwithprajwal.com/frontend/img/payment-method/maestro.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/payment-method/maestro.png	(from https://codingwithprajwal.com/)
14:49:50	6123/6123	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:43:04%20GMT	https://codingwithprajwal.com/frontend/img/payment-method/western-union.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/payment-method/western-union.png	(from https://codingwithprajwal.com/)
14:49:50	5919/5919	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:43:08%20GMT	https://codingwithprajwal.com/frontend/img/payment-method/discover.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/payment-method/discover.png	(from https://codingwithprajwal.com/)
14:49:50	14616/14616	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2008:43:12%20GMT	https://codingwithprajwal.com/frontend/img/payment-method/american-express.png	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/img/payment-method/american-express.png	(from https://codingwithprajwal.com/)
14:49:50	162284/162284	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Jan%202021%2007:44:28%20GMT	https://codingwithprajwal.com/frontend/assets/js/jquery.min.js	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/js/jquery.min.js	(from https://codingwithprajwal.com/)
14:49:51	37598/37598	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Jan%202021%2007:45:38%20GMT	https://codingwithprajwal.com/frontend/assets/js/popper.min.js	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/js/popper.min.js	(from https://codingwithprajwal.com/)
14:49:51	104859/104859	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Jan%202021%2007:46:04%20GMT	https://codingwithprajwal.com/frontend/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/prajwal/codingwithprajwal.com/frontend/assets/js/bootstrap.min.js	(from https://codingwithprajwal.com/)
